FIPS,State,County,REDEMP_SNAPS08,REDEMP_SNAPS12,PCH_REDEMP_SNAPS_08_12,PCT_SNAP09,PCT_SNAP14,PCH_SNAP_09_14,PC_SNAPBEN08,PC_SNAPBEN10,PCH_PC_SNAPBEN_08_10,SNAP_PART_RATE08,SNAP_PART_RATE10,SNAP_OAPP00,SNAP_OAPP05,SNAP_OAPP10,SNAP_FACEWAIVER00,SNAP_FACEWAIVER05,SNAP_FACEWAIVER10,SNAP_VEHEXCL00,SNAP_VEHEXCL05,SNAP_VEHEXCL10,SNAP_BBCE00,SNAP_BBCE05,SNAP_BBCE10,SNAP_REPORTSIMPLE00,SNAP_REPORTSIMPLE05,SNAP_REPORTSIMPLE10,PCT_NSLP09,PCT_NSLP14,PCH_NSLP_09_14,PCT_FREE_LUNCH06,PCT_FREE_LUNCH10,PCT_REDUCED_LUNCH06,PCT_REDUCED_LUNCH10,PCT_SBP09,PCT_SBP14,PCH_SBP_09_14,PCT_SFSP09,PCT_SFSP14,PCH_SFSP_09_14,PC_WIC_REDEMP08,PCT_WIC09,PCT_WIC14,PCH_WIC_09_14,PCT_CACFP09,PCT_CACFP14,PCH_CACFP_09_14,FDPIR12
13001,GA,Appling,170715.5211,281560.0523,64.92938106,13.0842445,17.98327375,4.899029248,17.31715854,29.73479367,71.70711698,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,52.4,58.79888268,10.4,8.100558659,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,37.98565,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
13003,GA,Atkinson,132611.7549,195401.1123,47.34825919,13.0842445,17.98327375,4.899029248,20.86883592,32.29254805,54.74053356,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,63.6,67.41637832,13.5,7.958477509,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,28.92134,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
13005,GA,Bacon,115151.2606,181654.4554,57.75290214,13.0842445,17.98327375,4.899029248,14.68101344,25.74187443,75.3412633,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,44.5,52.9322548,11,7.330637007,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,44.75285,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
13007,GA,Baker,143928.4557,84309.79241,18.05310482,13.0842445,17.98327375,4.899029248,29.91505173,42.16254839,40.94091752,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,81,79.82954545,12.5,3.409090909,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,87.0127,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
13009,GA,Baldwin,221098.3804,333058.7826,50.63827332,13.0842445,17.98327375,4.899029248,14.18959569,26.64114267,87.75124576,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,51.3,66.41137856,8.5,6.582786287,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,36.20179,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
13011,GA,Banks,346003.0969,325254.3833,-5.996684372,13.0842445,17.98327375,4.899029248,11.41012853,23.04320729,101.9539678,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,38.1,57.24873999,14.2,9.516750667,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,22.9456,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
13013,GA,Barrow,245881.7429,338368.0998,37.61416191,13.0842445,17.98327375,4.899029248,10.12923043,21.16756338,108.9750403,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,33.9,51.34220263,11.6,9.383610171,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,19.56084,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
13015,GA,Bartow,206594.7868,247701.5814,19.89730487,13.0842445,17.98327375,4.899029248,14.01447508,25.24268291,80.11864705,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,37,50.61387852,10,7.420628482,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,18.99606,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
13017,GA,Ben Hill,301798.321,351806.9627,16.57021867,13.0842445,17.98327375,4.899029248,26.55958537,42.09444629,58.4906003,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,61.8,73.15315315,9.1,5.585585586,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,63.71027,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
13019,GA,Berrien,131493.9053,149287.5123,13.53188719,13.0842445,17.98327375,4.899029248,22.35389303,31.88468313,42.63592962,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,49.5,60.50758279,11.2,9.192200557,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,29.95529,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
13021,GA,Bibb,348281.1178,407095.3236,16.88699237,13.0842445,17.98327375,4.899029248,24.75206312,36.37198115,46.94525048,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,65,72.103124,6.8,5.00079694,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,41.2962,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
13023,GA,Bleckley,147955.4013,210618.5115,42.35270201,13.0842445,17.98327375,4.899029248,16.78222198,23.27474773,38.68692568,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,42.8,50.36202735,10.5,7.924376508,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,28.42467,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
13025,GA,Brantley,69628.94098,123382.349,77.19980701,13.0842445,17.98327375,4.899029248,19.76118409,26.0369928,31.75826245,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,42,55.16853933,11.3,7.303370787,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,27.13946,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
13027,GA,Brooks,123218.7028,147486.006,19.69449658,13.0842445,17.98327375,4.899029248,21.42500812,33.55692202,56.62501427,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,65.9,73.96193772,11.5,7.223183391,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,26.82228,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
13029,GA,Bryan,153331.5655,186367.1814,21.54521526,13.0842445,17.98327375,4.899029248,7.952266444,14.70479175,84.91321755,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,22.4,31.05499736,8.7,7.522474881,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,18.45321,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
13031,GA,Bulloch,205976.4465,278867.3321,35.38797124,13.0842445,17.98327375,4.899029248,11.9859991,19.77860244,65.01421594,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,43.8,51.78663905,9.8,8.099430347,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,26.4385,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
13033,GA,Burke,236671.0671,382063.6551,61.43234567,13.0842445,17.98327375,4.899029248,28.45198887,41.07881654,44.37942013,62,81,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,13.13427904,12.24333202,-0.890947019,70.5,71.14726027,12.8,12.47859589,5.744377651,6.206548713,0.462171061,0.696434332,0.970998014,0.274563682,35.38695,5.078871539,2.688011589,-2.39085995,1.424865129,1.319948723,-0.104916406,0
