FIPS,State,County,PCT_DIABETES_ADULTS09,PCT_DIABETES_ADULTS10,PCT_OBESE_ADULTS09,PCT_OBESE_ADULTS10,PCT_OBESE_ADULTS13,PCT_OBESE_CHILD08,PCT_OBESE_CHILD11,PCH_OBESE_CHILD_08_11,PCT_HSPA09,RECFAC07,RECFAC12,PCH_RECFAC_07_12,RECFACPTH07,RECFACPTH12,PCH_RECFACPTH_07_12,NATAMEN
13001,GA,Appling,12.1,14,32.8,34.3,30.3,11.2,12.5,1.3,23.7,3,1,-66.66666667,0.167550963,0.054442509,-67.50689605,4
13003,GA,Atkinson,10,11,29.2,30.8,30.3,20.5,20.2,-0.3,23.7,0,0,0,0,0,0,4
13005,GA,Bacon,10.6,11.1,31,30.8,30.3,13.2,11.5,-1.7,23.7,2,0,-100,0.189322226,0,-100,3
13007,GA,Baker,12.9,14.4,33.2,32.6,30.3,13.4,13.1,-0.3,23.7,0,0,0,0,0,0,3
13009,GA,Baldwin,11.7,11.3,31.3,32,30.3,15.5,12.7,-2.8,23.7,3,6,100,0.064487006,0.129402377,100.6642655,4
13011,GA,Banks,10.4,10.8,27.5,28.2,30.3,15.3,14,-1.3,23.7,2,1,-50,0.121632306,0.054597074,-55.11301594,3
13013,GA,Barrow,10.3,11.6,28.9,32.2,30.3,15.1,17.8,2.7,23.7,3,3,0,0.044662796,0.042753923,-4.273967136,3
13015,GA,Bartow,9.4,11.4,25.5,29.4,30.3,15,14.7,-0.3,23.7,9,8,-11.11111111,0.097069577,0.079474672,-18.12607553,4
13017,GA,Ben Hill,13.1,14.3,32.7,33.4,30.3,16.2,13.8,-2.4,23.7,1,1,0,0.056420673,0.057019044,1.060554225,3
13019,GA,Berrien,11.4,11.8,30.5,30.1,30.3,22.6,13.2,-9.4,23.7,1,1,0,0.059916117,0.05251825,-12.3470406,4
13021,GA,Bibb,12.6,12.1,30.1,30.3,30.3,12.1,12.1,0,23.7,13,15,15.38461538,0.083929989,0.095869924,14.22606423,4
13023,GA,Bleckley,11.6,12.3,28.7,30.1,30.3,10.4,14.8,4.4,23.7,1,0,-100,0.077960552,0,-100,4
13025,GA,Brantley,10,10.9,29.2,31,30.3,9.9,12.5,2.6,23.7,1,1,0,0.064792018,0.053801044,-16.96346909,3
13027,GA,Brooks,14.1,14.8,30.9,33.3,30.3,12.3,13.4,1.1,23.7,0,0,0,0,0,0,4
13029,GA,Bryan,9.2,10.3,28.4,28.3,30.3,,11.3,,23.7,7,3,-57.14285714,0.232681824,0.093127212,-59.97658516,4
13031,GA,Bulloch,11.1,10.8,31.2,33,30.3,14.5,13.5,-1,23.7,6,4,-33.33333333,0.090345118,0.055025174,-39.09446905,4
13033,GA,Burke,12.4,12.6,37.4,35.9,30.3,13.4,12.8,-0.6,23.7,2,0,-100,0.087630899,0,-100,3
13035,GA,Butts,12.1,12.9,31,33.6,30.3,9.8,8.3,-1.5,23.7,1,2,100,0.042294028,0.085019554,101.0202347,4
13037,GA,Calhoun,12.5,13.1,33.8,31.7,30.3,14.2,16.6,2.4,23.7,0,0,0,0,0,0,4
13039,GA,Camden,10.8,11.6,29.4,28.6,30.3,10,11,1,23.7,4,4,0,0.084450544,0.077817984,-7.853780009,4
13043,GA,Candler,11.4,11.5,31,32,30.3,19.1,19.2,0.1,23.7,1,0,-100,0.095858896,0,-100,4
13045,GA,Carroll,12.6,12.9,30.9,31.4,30.3,13.1,12.3,-0.8,23.7,8,10,25,0.071474519,0.089621796,25.38985481,3
13047,GA,Catoosa,10.7,12.4,32.9,31,30.3,12.3,12.1,-0.2,23.7,5,4,-20,0.080055078,0.061494942,-23.1842081,3
13049,GA,Charlton,10.9,11.5,30.9,31.5,30.3,15,12.2,-2.8,23.7,1,2,100,0.094410876,0.150432493,59.33809703,3
13051,GA,Chatham,11.1,10.4,29.1,26.8,30.3,11.1,10.9,-0.2,23.7,31,21,-32.25806452,0.124700317,0.0759675,-39.07994605,4
13053,GA,Chattahoochee,6.9,7.3,32.2,30.5,30.3,15.5,12.3,-3.2,23.7,0,1,0,0,0.076704763,0,3
13055,GA,Chattooga,10.8,12.1,30.7,32.8,30.3,12.9,15.6,2.7,23.7,1,1,0,0.037216226,0.038872692,4.450923226,3
13057,GA,Cherokee,7.3,8.7,27.7,27.9,30.3,16.8,14.9,-1.9,23.7,26,27,3.846153846,0.127519741,0.121998057,-4.330062094,4
13059,GA,Clarke,8.8,9,27.7,26.7,30.3,17.2,14.6,-2.6,23.7,16,16,0,0.14102259,0.133038431,-5.66161675,3
13061,GA,Clay,17.3,17.5,33.2,33.6,30.3,12.4,13.9,1.5,23.7,0,0,0,0,0,0,4
13063,GA,Clayton,11.4,11.3,35.1,36.1,30.3,,14.3,,23.7,10,2,-80,0.036669661,0.007521964,-79.4872277,3
13065,GA,Clinch,12.2,12.9,32.9,32.7,30.3,16.1,13,-3.1,23.7,0,0,0,0,0,0,4
13067,GA,Cobb,8.8,8.8,23.6,23.4,30.3,17.4,15.3,-2.1,23.7,87,74,-14.94252874,0.125814177,0.104602215,-16.85975508,3
13069,GA,Coffee,11.4,11.7,29.7,30.5,30.3,19.6,20.6,1,23.7,4,5,25,0.09912522,0.115821172,16.84329395,3
13071,GA,Colquitt,11.6,12.8,31.4,32.6,30.3,15.7,17.1,1.4,23.7,3,1,-66.66666667,0.067087079,0.021674578,-67.6918742,4
13073,GA,Columbia,9.5,9.8,25.8,26.4,30.3,10.2,11.5,1.3,23.7,11,11,0,0.101048145,0.08356948,-17.297363,4
13075,GA,Cook,12.5,13.6,32.9,31.7,30.3,9.2,15.9,6.7,23.7,1,0,-100,0.060971892,0,-100,4
13077,GA,Coweta,9.9,11,29.6,29.6,30.3,14.1,13.1,-1,23.7,11,7,-36.36363636,0.092464947,0.053464091,-42.17907138,3
13079,GA,Crawford,11.2,12.5,30.2,30.7,30.3,13.1,13.6,0.5,23.7,0,0,0,0,0,0,4
13081,GA,Crisp,12.6,14.2,34.1,33.8,30.3,13.5,12.7,-0.8,23.7,2,1,-50,0.090175391,0.042362111,-53.02253664,4
13083,GA,Dade,11.1,11.5,28,30.9,30.3,10.9,9.4,-1.5,23.7,1,1,0,0.061747453,0.060642814,-1.788963008,3
13085,GA,Dawson,10,10.8,26.8,27.5,30.3,12.9,15.5,2.6,23.7,0,3,0,0,0.133797164,0,5
13087,GA,Decatur,13.4,12.9,33.8,31.7,30.3,12.6,13.4,0.8,23.7,3,4,33.33333333,0.105104579,0.145406958,38.34502648,4
