FIPS,State,County,FFR07,FFR12,PCH_FFR_07_12,FFRPTH07,FFRPTH12,PCH_FFRPTH_07_12,FSR07,FSR12,PCH_FSR_07_12,FSRPTH07,FSRPTH12,PCH_FSRPTH_07_12,PC_FFRSALES02,PC_FFRSALES07,PC_FSRSALES02,PC_FSRSALES07
13001,GA,Appling,10,13,30,0.558503211,0.707752613,26.7231054,15,10,-33.33333333,0.837754817,0.544425087,-35.0137921,538,749.6665528,510,711.7697982
13003,GA,Atkinson,2,4,100,0.244947949,0.482858522,97.12699179,4,3,-25,0.489895897,0.362143892,-26.07737808,538,749.6665528,510,711.7697982
13005,GA,Bacon,9,8,-11.11111111,0.851950019,0.714413288,-16.14375583,2,3,50,0.189322226,0.267904983,41.50741204,538,749.6665528,510,711.7697982
13007,GA,Baker,0,0,0,0,0,0,2,0,-100,0.534188034,0,-100,538,749.6665528,510,711.7697982
13009,GA,Baldwin,33,28,-15.15151515,0.709357065,0.603877758,-14.86970553,27,33,22.22222222,0.580383053,0.711713072,22.62816227,538,749.6665528,510,711.7697982
13011,GA,Banks,13,13,0,0.790609986,0.709761957,-10.22603188,18,13,-27.77777778,1.09469075,0.709761957,-35.16324525,538,749.6665528,510,711.7697982
13013,GA,Barrow,34,38,11.76470588,0.506178353,0.541549687,6.987919083,26,27,3.846153846,0.387077564,0.384785304,-0.592196642,538,749.6665528,510,711.7697982
13015,GA,Bartow,65,54,-16.92307692,0.701058058,0.536454039,-23.47937059,71,68,-4.225352113,0.76577111,0.675534716,-11.78372927,538,749.6665528,510,711.7697982
13017,GA,Ben Hill,20,15,-25,1.128413451,0.855285665,-24.20458433,6,9,50,0.338524035,0.513171399,51.59083134,538,749.6665528,510,711.7697982
13019,GA,Berrien,8,9,12.5,0.479328939,0.472664251,-1.390420671,8,8,0,0.479328939,0.420146001,-12.3470406,538,749.6665528,510,711.7697982
13021,GA,Bibb,159,177,11.32075472,1.026528333,1.1312651,10.20300788,121,118,-2.479338843,0.781194517,0.754176733,-3.458522023,538,749.6665528,510,711.7697982
13023,GA,Bleckley,4,6,50,0.311842208,0.464648029,49.00100674,4,3,-25,0.311842208,0.232324015,-25.49949663,538,749.6665528,510,711.7697982
13025,GA,Brantley,4,4,0,0.25916807,0.215204175,-16.96346909,6,4,-33.33333333,0.388752106,0.215204175,-44.64231273,538,749.6665528,510,711.7697982
13027,GA,Brooks,3,8,166.6666667,0.183553598,0.519379342,182.9578654,3,6,100,0.183553598,0.389534506,112.218399,538,749.6665528,510,711.7697982
13029,GA,Bryan,21,26,23.80952381,0.698045473,0.807102502,15.62319843,25,26,4,0.831006515,0.807102502,-2.876513317,538,749.6665528,510,711.7697982
13031,GA,Bulloch,45,50,11.11111111,0.677588388,0.687814675,1.509218245,57,54,-5.263157895,0.858278624,0.742839849,-13.45003497,538,749.6665528,510,711.7697982
13033,GA,Burke,5,9,80,0.219077247,0.389189189,77.6492973,10,12,20,0.438154493,0.518918919,18.43286486,538,749.6665528,510,711.7697982
13035,GA,Butts,12,14,16.66666667,0.507528337,0.595136881,17.26180355,8,13,62.5,0.338352225,0.552627104,63.32894066,538,749.6665528,510,711.7697982
13037,GA,Calhoun,2,0,-100,0.334001336,0,-100,3,5,66.66666667,0.501002004,0.768757688,53.44403444,538,749.6665528,510,711.7697982
13039,GA,Camden,33,31,-6.060606061,0.696716985,0.603089374,-13.4383994,32,41,28.125,0.675604349,0.797634333,18.06234436,538,749.6665528,510,711.7697982
13043,GA,Candler,8,10,25,0.766871166,0.899523253,17.29783215,8,11,37.5,0.766871166,0.989475578,29.02761536,538,749.6665528,510,711.7697982
13045,GA,Carroll,84,89,5.952380952,0.750482453,0.797633985,6.282829317,73,79,8.219178082,0.652204989,0.708012189,8.556696221,538,749.6665528,510,711.7697982
13047,GA,Catoosa,39,43,10.25641026,0.624429608,0.661070627,5.867918325,31,30,-3.225806452,0.496341483,0.461212065,-7.077671087,538,749.6665528,510,711.7697982
13049,GA,Charlton,9,7,-22.22222222,0.849697885,0.526513727,-38.03518449,4,4,0,0.377643505,0.300864987,-20.33095149,538,749.6665528,510,711.7697982
13051,GA,Chatham,243,266,9.465020576,0.977489581,0.962255005,-1.55854108,266,310,16.54135338,1.070009172,1.121425006,4.805176953,538,749.6665528,510,711.7697982
13053,GA,Chattahoochee,1,2,100,0.071916577,0.153409527,113.3159469,2,3,50,0.143833154,0.23011429,59.98696019,538,749.6665528,510,711.7697982
13055,GA,Chattooga,15,11,-26.66666667,0.558243394,0.427599611,-23.4026563,11,10,-9.090909091,0.409378489,0.388726919,-5.044615249,538,749.6665528,510,711.7697982
13057,GA,Cherokee,108,133,23.14814815,0.529697386,0.600953392,13.45221032,144,140,-2.777777778,0.706263181,0.632582518,-10.43246554,538,749.6665528,510,711.7697982
13059,GA,Clarke,102,113,10.78431373,0.899019012,0.939583922,4.512130464,114,118,3.50877193,1.004785954,0.981158432,-2.351498039,538,749.6665528,510,711.7697982
13061,GA,Clay,0,0,0,0,0,0,0,0,0,0,0,0,538,749.6665528,510,711.7697982
13063,GA,Clayton,189,189,0,0.6930566,0.710825611,2.563861476,119,93,-21.8487395,0.43636897,0.349771332,-19.84504944,538,749.6665528,510,711.7697982
13065,GA,Clinch,4,5,25,0.574382539,0.744269128,29.57725514,5,3,-40,0.717978173,0.446561477,-37.80291753,538,749.6665528,510,711.7697982
13067,GA,Cobb,541,600,10.90573013,0.78236172,0.848126065,8.405874632,562,506,-9.964412811,0.812730659,0.715252982,-11.9938477,538,749.6665528,510,711.7697982
13069,GA,Coffee,32,28,-12.5,0.793001759,0.648598564,-18.20969423,18,18,0,0.44606349,0.41695622,-6.525364837,538,749.6665528,510,711.7697982
13071,GA,Colquitt,22,27,22.72727273,0.491971913,0.585213603,18.95264499,19,18,-5.263157895,0.424884834,0.390142402,-8.176905623,538,749.6665528,510,711.7697982
13073,GA,Columbia,63,73,15.87301587,0.578730284,0.554597461,-4.169960305,69,75,8.695652174,0.633847454,0.569791912,-10.10582935,538,749.6665528,510,711.7697982
13075,GA,Cook,13,14,7.692307692,0.792634595,0.827276488,4.370474411,12,5,-58.33333333,0.731662703,0.295455888,-59.61856645,538,749.6665528,510,711.7697982
13077,GA,Coweta,59,69,16.94915254,0.495948354,0.527003185,6.261706597,64,62,-3.125,0.537977876,0.473539094,-11.97796134,538,749.6665528,510,711.7697982
13079,GA,Crawford,4,1,-75,0.318979266,0.079365079,-75.11904762,2,2,0,0.159489633,0.158730159,-0.476190476,538,749.6665528,510,711.7697982
13081,GA,Crisp,17,17,0,0.766490825,0.720155893,-6.045073286,16,14,-12.5,0.721403129,0.593069559,-17.78943913,538,749.6665528,510,711.7697982
13083,GA,Dade,7,7,0,0.43223217,0.424499697,-1.788963008,12,10,-16.66666667,0.740969435,0.606428138,-18.15746917,538,749.6665528,510,711.7697982
13085,GA,Dawson,19,16,-15.78947368,0.87954819,0.713584872,-18.86915576,20,16,-20,0.9258402,0.713584872,-22.92569798,538,749.6665528,510,711.7697982
13087,GA,Decatur,18,20,11.11111111,0.630627474,0.727034789,15.28752206,16,14,-12.5,0.560557755,0.508924352,-9.211076375,538,749.6665528,510,711.7697982
13089,GA,DeKalb,566,553,-2.296819788,0.771384103,0.782079766,1.38655483,520,515,-0.961538462,0.708692109,0.7283383,2.77217578,538,749.6665528,510,711.7697982
13091,GA,Dodge,14,13,-7.142857143,0.708072021,0.609498804,-13.92135456,9,4,-55.55555556,0.455189156,0.187538094,-58.79996458,538,749.6665528,510,711.7697982
13093,GA,Dooly,7,8,14.28571429,0.606796117,0.558737254,-7.920100573,4,3,-25,0.346740638,0.20952647,-39.572566,538,749.6665528,510,711.7697982
13095,GA,Dougherty,94,90,-4.255319149,0.986348517,0.952370874,-3.444790745,68,64,-5.882352941,0.713528714,0.677241511,-5.085598223,538,749.6665528,510,711.7697982
13097,GA,Douglas,80,82,2.5,0.64347994,0.612072762,-4.880832419,88,77,-12.5,0.707827933,0.574751252,-18.8007106,538,749.6665528,510,711.7697982
13099,GA,Early,6,5,-16.66666667,0.508173118,0.471965263,-7.125102259,11,12,9.090909091,0.931650716,1.132716632,21.58168432,538,749.6665528,510,711.7697982
13101,GA,Echols,0,0,0,0,0,0,0,1,,0,0.250752257,0,538,749.6665528,510,711.7697982
13103,GA,Effingham,24,26,8.333333333,0.472087808,0.487868951,3.342840523,16,20,25,0.314725206,0.375283808,19.24173907,538,749.6665528,510,711.7697982
13105,GA,Elbert,11,11,0,0.533643817,0.558829506,4.719569193,9,7,-22.22222222,0.436617668,0.355618777,-18.55144618,538,749.6665528,510,711.7697982
13107,GA,Emanuel,12,13,8.333333333,0.532056398,0.567735173,6.705825836,11,14,27.27272727,0.487718365,0.61140711,25.36069049,538,749.6665528,510,711.7697982
13109,GA,Evans,7,4,-42.85714286,0.61430452,0.374216484,-39.08290232,6,6,0,0.526546731,0.561324726,6.604920947,538,749.6665528,510,711.7697982
13111,GA,Fannin,18,20,11.11111111,0.798049213,0.851353652,6.679342377,27,23,-14.81481481,1.19707382,0.9790567,-18.21250418,538,749.6665528,510,711.7697982
13113,GA,Fayette,63,80,26.98412698,0.594715528,0.74401994,25.10518139,98,88,-10.20408163,0.925113043,0.818421934,-11.53276459,538,749.6665528,510,711.7697982
13115,GA,Floyd,79,64,-18.98734177,0.830556052,0.665439762,-19.88021031,64,64,0,0.672855536,0.665439762,-1.102134606,538,749.6665528,510,711.7697982
13117,GA,Forsyth,95,123,29.47368421,0.599864873,0.654505981,9.10890285,104,117,12.5,0.656694176,0.62257886,-5.195008195,538,749.6665528,510,711.7697982
13119,GA,Franklin,14,16,14.28571429,0.641231164,0.730793825,13.96729698,22,17,-22.72727273,1.007648972,0.776468439,-22.94256625,538,749.6665528,510,711.7697982
13121,GA,Fulton,966,1075,11.28364389,0.974979562,1.09943719,12.76515258,1102,1077,-2.268602541,1.112243765,1.101482655,-0.967513637,538,749.6665528,510,711.7697982
13123,GA,Gilmer,25,22,-12,0.874798796,0.780418588,-10.78879035,22,20,-9.090909091,0.769822941,0.709471444,-7.839659454,538,749.6665528,510,711.7697982
13125,GA,Glascock,0,0,0,0,0,0,2,1,-50,0.722282412,0.318268619,-55.93570974,538,749.6665528,510,711.7697982
13127,GA,Glynn,77,86,11.68831169,1.030058994,1.061440103,3.04653506,97,84,-13.40206186,1.297606785,1.036755449,-20.10249475,538,749.6665528,510,711.7697982
13129,GA,Gordon,38,38,0,0.730698971,0.681418786,-6.744252771,28,31,10.71428571,0.538409768,0.555894272,3.247434433,538,749.6665528,510,711.7697982
13131,GA,Grady,10,15,50,0.401429088,0.589622642,46.88089623,11,8,-27.27272727,0.441571996,0.314465409,-28.78502001,538,749.6665528,510,711.7697982
13133,GA,Greene,11,9,-18.18181818,0.699034062,0.559284116,-19.99186496,11,13,18.18181818,0.699034062,0.807854835,15.56730617,538,749.6665528,510,711.7697982
13135,GA,Gwinnett,595,629,5.714285714,0.770262433,0.746990069,-3.021355128,716,658,-8.100558659,0.926904037,0.781429993,-15.69461757,538,749.6665528,510,711.7697982
13137,GA,Habersham,37,37,0,0.877525851,0.850183824,-3.115808824,29,26,-10.34482759,0.687790532,0.597426471,-13.13831136,538,749.6665528,510,711.7697982
13139,GA,Hall,102,105,2.941176471,0.570348584,0.566294171,-0.710865742,109,107,-1.834862385,0.609490153,0.577080727,-5.317465155,538,749.6665528,510,711.7697982
13141,GA,Hancock,7,6,-14.28571429,0.72742388,0.666963095,-8.311630566,0,2,,0,0.222321032,0,538,749.6665528,510,711.7697982
13143,GA,Haralson,14,18,28.57142857,0.487668942,0.633802817,29.96579477,16,13,-18.75,0.557335934,0.457746479,-17.86883803,538,749.6665528,510,711.7697982
13145,GA,Harris,7,6,-14.28571429,0.240450673,0.184331797,-23.33903884,19,11,-42.10526316,0.652651827,0.337941628,-48.22022799,538,749.6665528,510,711.7697982
13147,GA,Hart,15,11,-26.66666667,0.621813207,0.431068266,-30.67560154,13,13,0,0.53890478,0.509444314,-5.466729368,538,749.6665528,510,711.7697982
13149,GA,Heard,3,4,33.33333333,0.262605042,0.343849394,30.93784922,1,2,100,0.087535014,0.171924697,96.40677383,538,749.6665528,510,711.7697982
13151,GA,Henry,160,152,-5,0.865323252,0.727088346,-15.97494415,112,109,-2.678571429,0.605726277,0.52139888,-13.92170031,538,749.6665528,510,711.7697982
13153,GA,Houston,94,114,21.27659574,0.715966822,0.780095254,8.956899956,79,76,-3.797468354,0.601716797,0.520063502,-13.57005404,538,749.6665528,510,711.7697982
13155,GA,Irwin,2,3,50,0.200662185,0.3125,55.734375,2,3,50,0.200662185,0.3125,55.734375,538,749.6665528,510,711.7697982
13157,GA,Jackson,23,36,56.52173913,0.385085472,0.594343828,54.34075569,30,26,-13.33333333,0.502285399,0.42924832,-14.54095194,538,749.6665528,510,711.7697982
13159,GA,Jasper,5,4,-20,0.366032211,0.293470286,-19.82391783,6,5,-16.66666667,0.439238653,0.366837858,-16.48324774,538,749.6665528,510,711.7697982
13161,GA,Jeff Davis,9,8,-11.11111111,0.679912367,0.527843758,-22.36591302,8,4,-50,0.604366548,0.263921879,-56.33082608,538,749.6665528,510,711.7697982
13163,GA,Jefferson,10,11,10,0.610314312,0.669425511,9.68537001,10,6,-40,0.610314312,0.365141188,-40.17161636,538,749.6665528,510,711.7697982
13165,GA,Jenkins,7,5,-28.57142857,0.819480215,0.542711386,-33.77370486,2,3,50,0.234137204,0.325626832,39.0752198,538,749.6665528,510,711.7697982
