FIPS,State,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC10,POVRATE10,PERPOV10,CHILDPOVRATE10,PERCHLDPOV10,METRO13,POPLOSS00
13001,GA,Appling,70.486949,18.425093,9.344154,0.685457,0.219346,0.06032,13.467866,25.740294,36601,24.5,0,35.7,1,0,0
13003,GA,Atkinson,57.026866,17.050746,24.346269,0.202985,0.370149,0.167164,10.626866,29.014925,28579,36.3,1,58.1,1,0,0
13005,GA,Bacon,75.982336,15.284787,7.128695,0.306417,0.072098,0.090123,13.33814,25.468637,31692,25.6,1,35.5,1,0,0
13007,GA,Baker,47.580411,46.363373,4.201681,0.695451,0.260794,0.057954,15.357867,23.210664,33950,26,1,40.6,1,1,0
13009,GA,Baldwin,54.033246,41.264217,2.010061,1.268591,0.185914,0.03937,12.047244,20.452756,36091,27,0,34.5,1,0,0
13011,GA,Banks,89.83963,2.261484,5.659147,0.896983,0.195705,0,12.503398,25.240554,42196,16.4,0,24.7,0,0,0
13013,GA,Barrow,74.583015,11.19985,8.702986,3.400753,0.187409,0.040365,9.330085,28.239653,52391,12,0,17.7,0,1,0
13015,GA,Bartow,79.677906,10.008287,7.677946,0.703895,0.287549,0.053915,10.594367,26.75799,43825,14.5,0,21.9,0,1,0
13017,GA,Ben Hill,57.638653,34.518544,5.818306,0.680504,0.266531,0.011342,13.99569,26.471589,29910,27.9,1,41.5,1,0,0
13019,GA,Berrien,83.220989,10.577621,4.588821,0.425179,0.228145,0.015555,13.813129,25.60925,32859,21.7,0,33.7,1,0,0
13021,GA,Bibb,42.105602,51.909712,2.821655,1.602088,0.18451,0.047574,12.65791,25.792204,36220,25.9,0,38.7,1,1,0
13023,GA,Bleckley,68.896884,27.045855,2.304218,0.834418,0.053586,0.022966,15.088418,22.575212,38513,19.8,0,27.1,1,0,0
13025,GA,Brantley,93.411547,2.884145,1.863017,0.200967,0.304166,0.010863,12.27527,26.576503,35732,23.6,0,32.4,0,1,0
13027,GA,Brooks,58.024995,35.061257,5.251493,0.313981,0.295512,0.030782,15.760635,23.702518,32067,24.5,1,38.4,1,1,0
13029,GA,Bryan,77.55102,13.925181,4.419012,1.564516,0.267919,0.072768,8.980253,29.295803,65478,11.8,0,16.7,0,1,0
13031,GA,Bulloch,65.868664,27.417862,3.473518,1.442671,0.20223,0.082601,9.116026,20.497885,31943,34.3,1,31.7,1,0,0
13033,GA,Burke,46.508835,49.189398,2.646252,0.291645,0.201578,0.085778,11.867387,28.242409,30688,32.9,1,47,1,1,0
13035,GA,Butts,68.484464,27.186641,2.523779,0.422744,0.219827,0.012682,12.618897,22.511097,43777,16.5,0,23.5,0,1,0
13037,GA,Calhoun,33.61219,61.12937,3.913953,0.448163,0.134449,0,11.906185,19.719151,28618,36.8,1,41,1,0,0
13039,GA,Camden,71.223249,19.046582,5.127393,1.39766,0.455328,0.138578,9.01946,27.026706,48967,15.5,0,21.3,0,0,0
13043,GA,Candler,63.184215,24.268049,11.156574,0.518276,0.07274,0.009093,14.402619,25.631933,30496,25.2,0,38.2,1,0,0
13045,GA,Carroll,72.86093,17.97027,6.152343,0.756376,0.267808,0.01719,10.954789,25.445366,45242,19,0,24.3,0,1,0
13047,GA,Catoosa,92.504144,2.120672,2.297395,1.191705,0.298708,0.046918,13.537268,24.928842,47337,14.3,0,20.6,0,1,0
13049,GA,Charlton,66.683099,28.288555,2.547038,0.624435,0.312218,0.024649,12.677676,21.707337,32316,27.9,0,32.1,0,0,0
13051,GA,Chatham,50.35002,39.706859,5.420024,2.349431,0.221402,0.084487,12.395522,22.633219,42728,19.7,0,27.5,1,1,0
13053,GA,Chattahooch,62.918257,18.168102,12.407917,2.050235,0.594657,0.55028,3.7277,27.096831,46292,18.5,0,20.6,0,1,1
13055,GA,Chattooga,82.986738,11.0936,4.009225,0.415145,0.184509,0.007688,14.610801,22.517778,33990,20.5,0,28.8,0,0,0
13057,GA,Cherokee,81.29053,5.427206,9.594767,1.625409,0.250063,0.039189,9.189815,27.488267,63520,8.6,0,11.7,0,1,0
13059,GA,Clarke,57.125966,26.29933,10.446048,4.122042,0.120808,0.041126,8.526826,17.498329,34000,33.3,1,35.6,0,1,0
13061,GA,Clay,37.32328,60.320452,0.816839,0.314169,0.345586,0.031417,19.57273,22.525919,27080,35.7,1,58.3,1,0,1
13063,GA,Clayton,14.112033,65.152029,13.663732,4.949041,0.216634,0.039703,6.64395,28.902106,36595,22.6,0,34.1,0,1,0
13065,GA,Clinch,66.725508,27.596352,3.471609,0.191233,0.558988,0.058841,12.768461,27.110915,30428,24.7,1,34.9,1,0,0
13067,GA,Cobb,56.307279,24.423539,12.255878,4.422754,0.193583,0.038804,8.715872,25.649272,59471,14,0,19.7,0,1,0
13069,GA,Coffee,61.164888,26.50628,10.274813,0.713004,0.205402,0.021248,11.075172,26.208802,33527,25.9,0,39.3,1,0,0
13071,GA,Colquitt,58.813574,22.293288,17.062288,0.635193,0.21979,0.026375,12.886281,27.658359,32010,26.2,0,35.3,1,0,0
13073,GA,Columbia,73.7725,14.57764,4.977711,3.809662,0.282137,0.14913,10.23756,27.25448,64435,8.8,0,10.6,0,1,0
13075,GA,Cook,64.902394,27.213572,5.949338,0.656519,0.220776,0.01162,13.478968,27.201952,32244,24.7,0,36.6,1,0,0
13077,GA,Coweta,72.734984,17.078631,6.670751,1.488411,0.223065,0.042414,10.39924,27.358483,56407,11,0,16.9,0,1,0
13079,GA,Crawford,73.491686,22.216944,2.383215,0.253365,0.411718,0.015835,13.159145,22.707838,41593,19,0,29.8,0,1,0
13081,GA,Crisp,52.118264,42.804727,3.191262,0.78075,0.102393,0.025598,13.963906,26.118862,35232,29.9,1,47.4,1,0,0
13083,GA,Dade,94.967835,0.853725,1.755546,0.685384,0.390789,0.030061,14.41111,21.55955,40161,16.3,0,22.3,0,1,0
13085,GA,Dawson,93.35871,0.434393,4.120018,0.555307,0.326914,0.035826,14.025974,22.763099,51127,13.9,0,21.7,0,1,0
13087,GA,Decatur,52.492637,40.823217,5.042741,0.495654,0.204727,0.010775,13.932189,25.436391,33288,25.1,1,38.8,1,0,0
13089,GA,DeKalb,29.396887,53.61566,9.802672,5.08359,0.179074,0.03541,8.993876,23.867274,47068,19.4,0,26.5,0,1,0
13091,GA,Dodge,65.484493,29.597174,3.358414,0.463388,0.178932,0.013764,13.832813,23.293265,33731,22.5,0,33.3,0,0,0
13093,GA,Dooly,43.310095,49.477142,5.778254,0.623408,0.107253,0.02011,13.775305,21.175761,32216,25.2,1,34.9,1,0,0
13095,GA,Dougherty,28.884894,66.830223,2.192143,0.760324,0.187173,0.054989,12.115476,25.732565,31200,35.1,1,49.2,1,1,1
13097,GA,Douglas,49.025324,38.811054,8.402378,1.416886,0.242442,0.096675,8.492255,28.347545,52887,12.7,0,19.1,0,1,0
13099,GA,Early,47.692587,49.427689,1.553416,0.336119,0.308866,0.018169,16.269985,26.353561,30572,27.6,1,40.3,1,0,0
13101,GA,Echols,63.336639,4.040654,29.325731,0.297471,1.363411,0.024789,9.866138,29.325731,32674,27,0,40.6,0,1,0
13103,GA,Effingham,80.97799,13.362679,2.872727,0.813397,0.258373,0.030622,9.115789,28.52823,60017,10.6,0,15.1,0,1,0
13105,GA,Elbert,64.246752,29.286919,4.7952,0.60002,0.183477,0.024794,16.810473,23.301597,32888,24.5,0,37.8,1,0,0
13107,GA,Emanuel,60.770865,33.37021,4.075582,0.681476,0.203558,0.013276,13.992389,25.435879,30985,29.5,1,43.1,1,0,0
13109,GA,Evans,56.618182,28.772727,13.1,0.545455,0.081818,0,13.681818,25.790909,32427,24.9,1,37.4,1,0,0
13111,GA,Fannin,96.11097,0.316696,1.819948,0.304028,0.287138,0.025336,21.944937,19.132675,33253,18.2,0,28.2,0,0,0
