FIPS,State,County,GROC07,GROC12,PCH_GROC_07_12,GROCPTH07,GROCPTH12,PCH_GROCPTH_07_12,SUPERC07,SUPERC12,PCH_SUPERC_07_12,SUPERCPTH07,SUPERCPTH12,PCH_SUPERCPTH_07_12,CONVS07,CONVS12,PCH_CONVS_07_12,CONVSPTH07,CONVSPTH12,PCH_CONVSPTH_07_12,SPECS07,SPECS12,PCH_SPECS_07_12,SPECSPTH07,SPECSPTH12,PCH_SPECSPTH_07_12,SNAPS08,SNAPS12,PCH_SNAPS_08_12,SNAPSPTH08,SNAPSPTH12,PCH_SNAPSPTH_08_12,WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12
13001,GA,Appling,2,1,-50,0.111700642,0.054442509,-51.26034408,1,1,0,0.055850321,0.054442509,-2.520688153,17,12,-29.41176471,0.949455459,0.653310105,-31.19107399,1,0,-100,0.055850321,0,-100,18,24.58333333,36.57407407,0.997561516,1.338378339,34.16499306,5,4,-20,0.2771004,0.21777,-21.41115
13003,GA,Atkinson,5,3,-40,0.612369871,0.362143892,-40.86190246,0,0,0,0,0,0,4,7,75,0.489895897,0.845002414,72.48611782,1,2,100,0.122473974,0.241429261,97.12699179,9.75,13.83333333,41.88034188,1.189314467,1.669885723,40.40741704,3,3,0,0.3659429,0.3621439,-1.038154
13005,GA,Bacon,3,2,-33.33333333,0.28398334,0.178603322,-37.10781687,0,0,0,0,0,0,5,12,140,0.473305566,1.071619932,126.4118593,0,0,0,0,0,0,11.33333333,17.5,54.41176471,1.07608558,1.562779068,45.22813948,5,4,-20,0.4747437,0.3572066,-24.758
13007,GA,Baker,1,1,0,0.267094017,0.297088532,11.22994652,0,0,0,0,0,0,2,1,-50,0.534188034,0.297088532,-44.38502674,0,0,0,0,0,0,3,3,0,0.79533404,0.891265597,12.06179441,1,1,0,0.2651113,0.2970885,12.0618
13009,GA,Baldwin,11,8,-27.27272727,0.236452355,0.172536502,-27.03117617,0,1,0,0,0.021567063,0,31,40,29.03225806,0.666365727,0.862682511,29.46081647,0,0,0,0,0,0,39.25,56.75,44.58598726,0.83599574,1.223930813,46.40395328,10,8,-20,0.2129925,0.1725365,-18.99411
13011,GA,Banks,0,0,0,0,0,0,1,1,0,0.060816153,0.054597074,-10.22603188,18,11,-38.88888889,1.09469075,0.60056781,-45.1381306,2,0,-100,0.121632306,0,-100,6.5,16.75,157.6923077,0.390039004,0.914500983,134.4639827,1,0,-100,0.060006,0,-100
13013,GA,Barrow,12,14,16.66666667,0.178651184,0.199518306,11.68037167,1,1,0,0.014887599,0.014251308,-4.273967136,30,47,56.66666667,0.446627959,0.669811455,49.97078482,1,2,100,0.014887599,0.028502615,91.45206573,34.16666667,58,69.75609756,0.486323631,0.826575838,69.96415275,11,13,18.18182,0.1565725,0.185267,18.32666
13015,GA,Bartow,16,9,-43.75,0.172568137,0.089409006,-48.18915717,1,1,0,0.010785509,0.009934334,-7.891834971,73,71,-2.739726027,0.787342127,0.705337718,-10.41534634,5,2,-60,0.053927543,0.019868668,-63.15673399,55.5,110.9166667,99.84984985,0.584216676,1.101883219,88.60865565,10,11,10,0.1052643,0.1092777,3.812694
13017,GA,Ben Hill,4,3,-25,0.22568269,0.171057133,-24.20458433,0,1,0,0,0.057019044,0,12,19,58.33333333,0.67704807,1.083361843,60.01254419,1,3,200,0.056420673,0.171057133,203.1816627,20.08333333,29.25,45.64315353,1.136899708,1.667807048,46.69781657,8,5,-37.5,0.4528729,0.2850952,-37.04741
13019,GA,Berrien,6,5,-16.66666667,0.359496705,0.26259125,-26.95586716,0,0,0,0,0,0,11,14,27.27272727,0.659077292,0.735255501,11.55831197,0,0,0,0,0,0,15.91666667,29.75,86.91099476,0.935064426,1.56241794,67.0920095,5,5,0,0.2937375,0.2625912,-10.60344
13021,GA,Bibb,39,29,-25.64102564,0.251789968,0.185348519,-26.3876475,3,3,0,0.019368459,0.019173985,-1.004077667,144,166,15.27777778,0.929686037,1.060960489,14.12029936,9,9,0,0.058105377,0.057521954,-1.004077667,133.5833333,213.6666667,59.95009357,0.861388927,1.365613802,58.53626159,37,31,-16.21622,0.2385881,0.1981312,-16.9568
13023,GA,Bleckley,4,3,-25,0.311842208,0.232324015,-25.49949663,0,0,0,0,0,0,5,9,80,0.38980276,0.696972044,78.80120808,1,0,-100,0.077960552,0,-100,12.66666667,16.16666667,27.63157895,0.991364692,1.251968301,26.28736035,5,4,-20,0.3913282,0.3097653,-20.84256
13025,GA,Brantley,3,4,33.33333333,0.194376053,0.215204175,10.71537454,0,0,0,0,0,0,7,15,114.2857143,0.453544123,0.807015656,77.93542338,0,0,0,0,0,0,11.91666667,18.25,53.14685315,0.76901566,0.981869048,27.6786806,8,2,-75,0.5162622,0.1076021,-79.15747
