,FIPS,State,County,REDEMP_SNAPS08,REDEMP_SNAPS12,PCH_REDEMP_SNAPS_08_12,PC_SNAPBEN08,PC_SNAPBEN10,PCH_PC_SNAPBEN_08_10,PCT_FREE_LUNCH06,PCT_FREE_LUNCH10,PCT_REDUCED_LUNCH06,PCT_REDUCED_LUNCH10,PC_WIC_REDEMP08
0,13001,GA,Appling,0.240852778,0.212690838,0.000136295,0.430407287,0.52351337,0.391118681,0.531565657,0.554312256,0.47826087,-2.961666155,0.391226828
1,13003,GA,Atkinson,0.171425125,0.142885887,0.000113766,0.531593473,0.580322916,0.294812634,0.672979798,0.666211956,0.702898551,-2.88239379,0.278674498
2,13005,GA,Bacon,0.139610917,0.131748508,0.000127099,0.355304332,0.434827789,0.411746892,0.431818182,0.478133059,0.52173913,-2.532098188,0.475255743
3,13007,GA,Baker,0.192044924,0.052881017,7.62E-05,0.789317352,0.799542653,0.216482988,0.892676768,0.827399119,0.630434783,-0.344121551,1
4,13009,GA,Baldwin,0.332653774,0.254414498,0.000117982,0.341303993,0.454801178,0.482188673,0.517676768,0.653161857,0.34057971,-2.114844415,0.369076483
5,13011,GA,Banks,0.56023866,0.248091466,4.54E-05,0.262117836,0.37488847,0.562806436,0.351010101,0.53418338,0.753623188,-3.751812427,0.204473211
6,13013,GA,Barrow,0.377810745,0.258716044,0.000101293,0.225625447,0.333229083,0.602659583,0.297979798,0.457485951,0.565217391,-3.677528385,0.16244435
7,13015,GA,Bartow,0.30622724,0.185259106,7.86E-05,0.336314861,0.42374039,0.438864369,0.337121212,0.448028534,0.449275362,-2.582307784,0.155431427
8,13017,GA,Ben Hill,0.479694553,0.269604051,7.43E-05,0.693721158,0.798030057,0.316098835,0.650252525,0.740704988,0.384057971,-1.558469001,0.710651687
9,13019,GA,Berrien,0.169388327,0.105525195,7.04E-05,0.573902289,0.571263946,0.226104249,0.494949495,0.576500028,0.536231884,-3.570733831,0.291513145
10,13021,GA,Bibb,0.564389369,0.314398025,7.47E-05,0.64222541,0.67093003,0.250564898,0.690656566,0.727070175,0.217391304,-1.232193633,0.432334218
11,13023,GA,Bleckley,0.199382292,0.155214843,0.000107365,0.415167111,0.380031148,0.203688837,0.410353535,0.444758202,0.485507246,-2.863367571,0.272507303
12,13025,GA,Brantley,0.056666156,0.084537139,0.000152018,0.500036816,0.441382579,0.164360225,0.400252525,0.507171607,0.543478261,-2.516885348,0.256548738
13,13027,GA,Brooks,0.154310346,0.104065636,7.83E-05,0.547438646,0.608405562,0.30550936,0.702020202,0.751207199,0.557971014,-2.472145813,0.252610286
14,13029,GA,Bryan,0.209178029,0.135566703,8.07E-05,0.163604419,0.189686323,0.466079402,0.152777778,0.194053014,0.355072464,-2.639131683,0.148690811
15,13031,GA,Bulloch,0.305100582,0.210509228,9.84E-05,0.27852421,0.302379272,0.353128307,0.422979798,0.463257036,0.434782609,-2.961036628,0.247844856
16,13033,GA,Burke,0.361028268,0.294117664,0.000131814,0.747635146,0.775472197,0.236000683,0.76010101,0.714658116,0.652173913,-5.404336198,0.358958543
17,13035,GA,Butts,0.493168094,0.169825723,1.97E-05,0.383011001,0.477931342,0.420284461,0.371212121,0.510797084,0.507246377,-2.463789517,0.162187813
18,13037,GA,Calhoun,0.077713103,0.106202239,0.000161919,0.530531461,0.60530536,0.327032924,0.835858586,0.746507373,0.543478261,-2.969324991,0.069831999
19,13039,GA,Camden,0.276948251,0.204150386,0.000107231,0.249026754,0.286708223,0.405115879,0.234848485,0.271705373,0.550724638,-3.53840595,0.304519548
20,13043,GA,Candler,0.224829358,0.160611122,9.69E-05,0.533835686,0.601633008,0.317511135,0.583333333,0.634393185,0.413043478,-2.345996847,0.143182591
21,13045,GA,Carroll,0.487732547,0.222306396,4.77E-05,0.388797203,0.452834701,0.366978804,0.402777778,0.518079151,0.442028986,-2.503274208,0.185471218
22,13047,GA,Catoosa,0.498829966,0.241075449,5.49E-05,0.250578863,0.342223261,0.529139554,0.282828283,0.316532747,0.347826087,-3.115722697,0.195188955
23,13049,GA,Charlton,0.09334179,0.103619518,0.000134723,0.437395467,0.598613172,0.486788611,0.512626263,0.597190658,0.572463768,-3.720285119,0.087793565
24,13051,GA,Chatham,0.458902925,0.299259565,9.63E-05,0.303191882,0.329809864,0.344570948,0.513888889,0.505268544,0.384057971,-1.798706923,0.216769729
25,13053,GA,Chattahoochee,0.434844274,1,0.000153725,0.159880666,0.126341851,0.276647123,0.518939394,0.45585928,0.782608696,-7.711496389,0.116640942
26,13055,GA,Chattooga,0.476726365,0.184993597,3.06E-05,0.422582029,0.500382907,0.372141343,0.426767677,0.505326618,0.543478261,-3.259269869,0.268739214
27,13057,GA,Cherokee,0.259902059,0.232633289,0.000141509,0.030966076,0.062969359,0.96605194,0.082070707,0.120855047,0.166666667,-1.024465803,0.113003232
28,13059,GA,Clarke,0.456482136,0.260500348,7.59E-05,0.300819633,0.346148788,0.383325553,0.641414141,0.754793702,0.347826087,-1.107497344,0.152221858
29,13061,GA,Clay,0.369101678,0.104618261,0.000104265,1,0.992764527,0.190267483,0.917929293,0.856562868,0.507246377,-4.231977587,0.166298117
30,13063,GA,Clayton,0.548340063,0.425310293,0.000130294,0.441613344,0.632134176,0.52621216,0.656565657,0.756949552,0.586956522,-2.712750758,0.378463677
31,13065,GA,Clinch,0.281788744,0.19382561,9.63E-05,0.563050543,0.658477455,0.341574991,0.545454545,0.601200815,0.594202899,-3.876516464,0.166920213
32,13067,GA,Cobb,0.370671706,0.257370642,0.000103269,0.100357825,0.142770541,0.663403951,0.248737374,0.29546049,0.195652174,-1.655268347,0.145999159
33,13069,GA,Coffee,0.232090245,0.206837705,0.000136841,0.522170913,0.63558429,0.377720539,0.606060606,0.663572543,0.507246377,-2.793801787,0.533310967
34,13071,GA,Colquitt,0.355824611,0.305291988,0.000141899,0.505426815,0.642248391,0.414574945,0.58459596,0.649651618,0.369565217,-2.123882154,0.435271976
35,13073,GA,Columbia,0.459280382,0.297285007,9.52E-05,0.088836498,0.069471097,0.406455048,0.083333333,0.120217465,0.224637681,-2.177010688,0.10866433
36,13075,GA,Cook,0.248467882,0.16569636,8.87E-05,0.539818857,0.631979355,0.34522271,0.505050505,0.589294429,0.442028986,-2.573707063,0.402786392
