,FIPS,State,County,FFR07,FFR12,PCH_FFR_07_12,FFRPTH07,FFRPTH12,PCH_FFRPTH_07_12,FSR07,FSR12,PCH_FSR_07_12,FSRPTH07,FSRPTH12,PCH_FSRPTH_07_12
0,13001,GA,Appling,0.010351967,0.012093023,0.325,0.494945545,0.625629318,0.333062082,0.013611615,0.009285051,0.222222222,0.837754817,0.544425087,-35.0137921
1,13003,GA,Atkinson,0.002070393,0.00372093,0.5,0.217072872,0.426830565,0.518102251,0.003629764,0.002785515,0.25,0.489895897,0.362143892,-26.07737808
2,13005,GA,Bacon,0.00931677,0.00744186,0.222222222,0.754998107,0.631517129,0.22039655,0.001814882,0.002785515,0.5,0.189322226,0.267904983,41.50741204
3,13007,GA,Baker,0,0,0.25,0,0,0.262826641,0.001814882,0,0,0.534188034,0,-100
4,13009,GA,Baldwin,0.034161491,0.026046512,0.212121212,0.628632231,0.533807467,0.223745094,0.024500907,0.030640669,0.407407407,0.580383053,0.711713072,22.62816227
5,13011,GA,Banks,0.013457557,0.012093023,0.25,0.700638569,0.62740551,0.235949905,0.016333938,0.012070566,0.240740741,1.09469075,0.709761957,-35.16324525
6,13013,GA,Barrow,0.035196687,0.035348837,0.279411765,0.448575256,0.478711565,0.281192754,0.023593466,0.025069638,0.346153846,0.387077564,0.384785304,-0.592196642
7,13015,GA,Bartow,0.067287785,0.050232558,0.207692308,0.621277651,0.474207185,0.2011166,0.064428312,0.063138347,0.319248826,0.76577111,0.675534716,-11.78372927
8,13017,GA,Ben Hill,0.020703934,0.013953488,0.1875,1,0.756043535,0.199210545,0.005444646,0.008356546,0.5,0.338524035,0.513171399,51.59083134
9,13019,GA,Berrien,0.008281573,0.008372093,0.28125,0.424781306,0.417819175,0.259172245,0.007259528,0.007428041,0.333333333,0.479328939,0.420146001,-12.3470406
10,13021,GA,Bibb,0.164596273,0.164651163,0.278301887,0.909709408,1,0.289642864,0.109800363,0.109563603,0.325068871,0.781194517,0.754176733,-3.458522023
11,13023,GA,Bleckley,0.004140787,0.005581395,0.375,0.276354565,0.410733107,0.391614341,0.003629764,0.002785515,0.25,0.311842208,0.232324015,-25.49949663
12,13025,GA,Brantley,0.004140787,0.00372093,0.25,0.229674744,0.190233196,0.218242125,0.005444646,0.00371402,0.222222222,0.388752106,0.215204175,-44.64231273
13,13027,GA,Brooks,0.00310559,0.00744186,0.666666667,0.162665199,0.459113732,0.743688654,0.002722323,0.005571031,0.666666667,0.183553598,0.389534506,112.218399
14,13029,GA,Bryan,0.02173913,0.024186047,0.30952381,0.618607898,0.713451252,0.303888569,0.022686025,0.024141133,0.346666667,0.831006515,0.807102502,-2.876513317
15,13031,GA,Bulloch,0.046583851,0.046511628,0.277777778,0.600478829,0.608004857,0.266793269,0.051724138,0.050139276,0.315789474,0.858278624,0.742839849,-13.45003497
16,13033,GA,Burke,0.005175983,0.008372093,0.45,0.194146256,0.34403005,0.466909681,0.00907441,0.011142061,0.4,0.438154493,0.518918919,18.43286486
17,13035,GA,Butts,0.01242236,0.013023256,0.291666667,0.449771612,0.526080828,0.30819526,0.007259528,0.012070566,0.541666667,0.338352225,0.552627104,63.32894066
18,13037,GA,Calhoun,0.002070393,0,0,0.295991984,0,0,0.002722323,0.004642526,0.555555556,0.501002004,0.768757688,53.44403444
19,13039,GA,Camden,0.034161491,0.028837209,0.234848485,0.617430592,0.533110563,0.227506947,0.029038113,0.038068709,0.427083333,0.675604349,0.797634333,18.06234436
20,13043,GA,Candler,0.008281573,0.009302326,0.3125,0.679601227,0.795148063,0.308289952,0.007259528,0.010213556,0.458333333,0.766871166,0.989475578,29.02761536
21,13045,GA,Carroll,0.086956522,0.082790698,0.264880952,0.66507755,0.705081404,0.27933959,0.066243194,0.073351903,0.360730594,0.652204989,0.708012189,8.556696221
22,13047,GA,Catoosa,0.040372671,0.04,0.275641026,0.553369518,0.584364025,0.278249094,0.028130672,0.027855153,0.322580645,0.496341483,0.461212065,-7.077671087
23,13049,GA,Charlton,0.00931677,0.006511628,0.194444444,0.753002265,0.465420287,0.162860043,0.003629764,0.00371402,0.333333333,0.377643505,0.300864987,-20.33095149
24,13051,GA,Chatham,0.251552795,0.24744186,0.273662551,0.866251266,0.850600805,0.25873038,0.24137931,0.287836583,0.388471178,1.070009172,1.121425006,4.805176953
25,13053,GA,Chattahoochee,0.001035197,0.001860465,0.5,0.063732471,0.135608821,0.560651138,0.001814882,0.002785515,0.5,0.143833154,0.23011429,59.98696019
26,13055,GA,Chattooga,0.01552795,0.010232558,0.183333333,0.494715296,0.377983561,0.201318226,0.009981851,0.009285051,0.303030303,0.409378489,0.388726919,-5.044615249
27,13057,GA,Cherokee,0.111801242,0.12372093,0.30787037,0.469417823,0.531222427,0.298182634,0.130671506,0.129990715,0.324074074,0.706263181,0.632582518,-10.43246554
28,13059,GA,Clarke,0.105590062,0.105116279,0.276960784,0.796710648,0.830560336,0.274685722,0.103448276,0.109563603,0.34502924,1.004785954,0.981158432,-2.351498039
29,13061,GA,Clay,0,0,0.25,0,0,0.262826641,0,0,0.333333333,0,0,0
30,13063,GA,Clayton,0.195652174,0.175813953,0.25,0.614186759,0.628345744,0.269565152,0.107985481,0.086350975,0.260504202,0.43636897,0.349771332,-19.84504944
31,13065,GA,Clinch,0.004140787,0.004651163,0.3125,0.509017806,0.657908679,0.340563547,0.004537205,0.002785515,0.2,0.717978173,0.446561477,-37.80291753
32,13067,GA,Cobb,0.560041408,0.558139535,0.277264325,0.693328956,0.749714691,0.284919519,0.509981851,0.469823584,0.300118624,0.812730659,0.715252982,-11.9938477
